Whiskey,Harshness,Sweetness,Nutiness,Smokiness,Creaminess
110,6.93,5.61,4.3,6.44,6.18
121,7.79,5.45,4.67,6.34,6.84
135,5.5,6.77,5.92,4.91,4.15
171,6.9,5.36,4.51,5.23,6.19
231,5.25,7.02,6.66,6.33,3.69
248,5.87,6.31,5.52,4.48,5.1
274,5.53,6.38,5.57,5.58,4.38
299,5.16,5.27,4.29,3.36,4.77
305,5.98,6.8,5.82,6.33,4.61
324,7.2,7.26,6.83,6.22,4.82
355,7.62,6.01,5.26,5.71,6.06
378,5.53,5.84,4.67,5.46,4.68
406,7.59,4.84,4.02,6.48,7.52
423,6.36,7.4,6.28,5.66,4
447,7.44,4.93,4.28,5.89,7.11
462,6.8,5.77,5.21,4.63,5.27
494,4.42,6.03,5.61,3.65,3.65
524,6.45,7.42,7.13,6.99,3.57
579,4.47,7.1,6.31,6.32,3.16
617,6.58,6.88,6.43,6.42,4.33
623,4.86,6.96,6.35,6.24,3.27
649,6.51,5.83,5.25,4.84,5.41
663,7.37,5.32,4.59,5.45,6.71
684,7.67,5.13,3.88,6.3,7.32
724,6.74,5,4.23,5.83,6.92
731,5.49,6.17,5.27,5.13,4.56
781,4.79,6.53,6.07,4.22,3.53
798,7.22,6.51,5.93,5.42,5.61
814,6.35,4.8,4.25,5.34,6.14
827,6.88,7.04,6.56,5.22,5.15
839,6.46,6.26,5.11,5.48,5.67
873,6.62,6.21,4.95,5.3,5.98
927,6.69,7.14,6.55,5.67,4.55
948,5.63,4.03,3.2,4.38,6.62
982,6.17,6.25,5.26,4.98,5.65
